Machine Name,Serial Number/ID,Hub ID,Updated(snx),Updated(Manual),Status,Description,Deliverable,Location
Dell Latitude 7480,,,6/14/2023,6/14/2023,Complete,,Distributable,A2
Dell Latitude 5590,,,6/14/2023,6/14/2023,Complete,,Distributable,A2
Dell Latitude 5501,,,6/14/2023,6/14/2023,Complete,,Distributable,A2
Dell Latitude 5580,,,3/6/2023,6/20/2023,Complete,,Distributable,B2
Dell Latitude 5580,,,9/8/2022,6/20/2023,Not Started,,Holding,B2
Dell Latitude 5580,,,3/6/2023,6/20/2023,Complete,,Distributable,B2
Dell Latitude 5501,,,6/14/2023,6/14/2023,Complete,,Distributable,A2
Thinkpad X1 Yoga 5th Gen,,,6/14/2023,6/14/2023,Complete,,Distributable,A2
Dell XPS 15 9500,,,7/29/2022,6/14/2023,Not Started,,Holding,A3
Dell Latitude 5580,,,2/13/2023,6/14/2023,Not Started,,Holding,A3
Dell Latitude 5501,,,4/10/2023,6/14/2023,Not Started,,Holding,A3
Dell Latitude E7470,,,6/13/2023,6/14/2023,Not Started,,In For Repair,A3
Lenovo X1 Yoga,,,9/2/2022,6/14/2023,Not Started,,Holding,A3
Lenovo X1 Yoga,,,9/2/2022,6/14/2023,Not Started,,Holding,A3
Apple MacBook Pro 13 M1,,,9/2/2022,6/14/2023,Not Started,,Holding,A3
Apple MacBook Pro 13 M1,,,9/2/2022,6/14/2023,Not Started,,Holding,A3
Apple MacBook Pro 13,,,9/2/2022,6/14/2023,Not Started,,Holding,A3
Microsoft Surface Laptop 4,,,5/26/2023,6/15/2023,In Progress,,Holding,A3
Microsoft Surface Laptop 4,,,4/20/2023,6/15/2023,In Progress,,Holding,A3
Microsoft Surface Book 2,,,4/25/2023,6/15/2023,In Progress,,Holding,A3
Microsoft Surface Book 3,,,2/10/2022,6/15/2023,Complete,,Distributable,A2
Microsoft Surface Book 2,,,6/5/2023,6/15/2023,Complete,,Distributable,A2
Lenovo X1 Yoga,,,6/6/2023,6/15/2023,Complete,,Distributable,A2
Lenovo X1 Yoga,,,4/24/2023,6/15/2023,Complete,,Distributable,A2
Microsoft Surface Laptop 4,,,9/20/2022,6/14/2023,In Progress,,Distributable,A2
Microsoft Surface,,,2/27/2023,6/14/2023,In Progress,,Distributable,A2
Lenovo Chromebook,,,,6/14/2023,Not Started,,Holding,A3
Dell Latitude E7440,,,2/20/2023,6/14/2023,Not Started,,Surplus,A3
Dell Latitude E6540,,,6/7/2023,6/15/2023,In Progress,,Surplus,A4
Dell Latitude E6540,,,6/7/2023,6/15/2023,In Progress,,Surplus,A4
Dell Latitude 5591,,,1/3/2023,6/15/2023,In Progress,,Holding,A4
Dell Latitude E7450,,,4/5/2023,6/15/2023,In Progress,,Surplus,A4
Lenovo,,,3/22/2023,6/15/2023,In Progress,,Holding,A4
Dell Latitude 7390 (2-in-1),,,3/20/2023,6/15/2023,In Progress,,Surplus,A4
Dell Latitude 5591,,,5/30/2023,6/15/2023,In Progress,,Holding,A4
Dell Latitude 5580,,,3/23/2023,6/15/2023,In Progress,,Surplus,A4
Lenovo X1 Yoga,,,2/22/2023,6/15/2023,In Progress,,Holding,A4
Thinkpad X1 Yoga,,,2/14/2023,6/15/2023,In Progress,,Holding,A4
Dell Latitude E7450,,,3/20/2023,6/15/2023,In Progress,,Surplus,A4
Dell Latitude E7450,,,3/20/2023,6/15/2023,In Progress,,Surplus,A4
Dell Latitude E7450,,,3/20/2023,6/15/2023,In Progress,,Surplus,A4
Dell Latitude E7450,,,3/20/2023,6/15/2023,In Progress,,Surplus,A4
Dell Latitude E7450,,,3/20/2023,6/15/2023,In Progress,,Surplus,A4
Dell Latitude E7450,,,3/20/2023,6/15/2023,In Progress,,Surplus,A4
Dell Latitude 5591,,,3/6/2023,6/20/2023,Complete,,Distributable,B2
